410.62	7247.23
410.52	7321.44
410.42	7178.77
410.32	7383.23
410.22	7440.02
410.12	7568.27
410.02	7358.87
409.92	7533.22
409.82	7461.81
409.72	7431.87
409.62	7430.41
409.52	7385.71
409.42	7248.45
409.32	7605.79
409.22	7329.25
409.12	7354.3
409.02	7492.72
408.92	7568.1
408.82	7283.81
408.72	7477.84
408.62	7291.16
408.52	7624.43
408.42	7533.36
408.32	7466.91
408.22	7239.29
408.12	7371.76
408.02	7410.2
407.92	7629.11
407.82	7361.46
407.72	7338.36
407.62	7392.71
407.52	7649.55
407.42	7853.5
407.32	7731.77
407.22	7661.78
407.12	7521.35
407.02	7643.74
406.92	7223.19
406.82	7610.93
406.72	7698.1
406.62	7697.98
406.52	7588.77
406.42	7890.76
406.32	7839.24
406.22	7709.53
406.12	7698.53
406.02	8009.32
405.92	7758.35
405.82	7663.69
405.72	7784.65
405.62	7537.09
405.52	7815.83
405.42	7577.82
405.32	7320.53
405.22	7383.85
405.12	7716.41
405.02	7328.63
404.92	7264.91
404.82	7592.2
404.72	7470.56
404.62	7346.47
404.52	7258.27
404.42	7485.83
404.32	7416.35
404.22	7308.85
404.12	7555.64
404.02	7631.44
403.92	7595.93
403.82	7459.41
403.72	7485.27
403.62	7510.87
403.52	7516.25
403.42	7497.44
403.32	7584.09
403.22	7508.16
403.12	7725.66
403.02	7673.47
402.92	7684.15
402.82	8210.62
402.72	7755.35
402.62	7641.46
402.52	7793.5
402.42	7817.61
402.32	8197.13
402.22	7845.84
402.12	8239.25
402.02	8609.91
401.92	8702.03
401.82	8477.8
401.72	8357.58
401.62	8578.47
401.52	8658.98
401.42	8868.05
401.32	9405.72
401.22	9500.05
401.12	9714.56
401.02	10078.9
400.92	10313.1
400.82	10769.9
400.72	10701.2
400.62	11041.4
400.52	11900.4
400.42	12152.6
400.32	12156.5
400.22	12713.9
400.12	12812.1
400.02	12879.5
399.92	13250.8
399.82	13214.6
399.72	12929.1
399.62	12597.6
399.52	12699.9
399.42	12235.1
399.32	11681.1
399.22	11067.9
399.12	10887.7
399.02	10349.1
398.92	10305.6
398.82	10069.8
398.72	9851.49
398.62	9140.4
398.52	9304.51
398.42	8942.54
398.32	8679.09
398.22	8613.17
398.12	8339.68
398.02	8316.42
397.92	8089.24
397.82	7809.57
397.72	7693.81
397.62	7776.16
397.52	7445.72
397.42	7442.21
397.32	7485.26
397.22	7166.41
397.12	7308.21
397.02	7299.09
396.92	6972.16
396.82	7439.37
396.72	7225.66
396.62	7017.46
396.52	7054.62
396.42	7223.09
396.32	7248.01
396.22	7362.64
396.12	7236.58
396.02	7035.71
395.92	6941.79
395.82	7303.34
395.72	6883.73
395.62	6854.94
395.52	7271.11
395.42	7144.28
395.32	7099.77
395.22	7039.1
395.12	6921.16
395.02	7031.71
394.92	6977.55
394.82	6943.49
394.72	7500.82
394.62	7291.9
394.52	7367.56
394.42	7180.17
394.32	7086.18
394.22	7253.93
394.12	6835.67
394.02	6995.5
393.92	6960.16
393.82	7256.16
393.72	7101.31
393.62	7419.53
393.52	7206.73
393.42	7280.7
393.32	7373.31
393.22	7247.85
393.12	7154.9
393.02	7350.27
392.92	7298.02
392.82	7251.22
392.72	7016.9
392.62	7136.96
