B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 410.62             7247.23             7274.493            7247.23             7253.152            7254.672            7253.404            7254.955           -27.26318 
 410.52             7321.44             7275.024            7247.23             7253.256            7254.812            7253.526            7255.121            46.41553 
 410.42             7178.77             7275.521            7247.181            7253.313            7254.905            7253.603            7255.243           -96.75146 
 410.32             7383.23             7276.129            7247.226            7253.468            7255.098            7253.778            7255.464            107.1006 
 410.22             7440.02             7276.619            7247.136            7253.49             7255.159            7253.821            7255.557            163.4014 
 410.12             7568.27             7277.088            7247.008            7253.478            7255.187            7253.831            7255.617            291.1816 
 410.02             7358.87             7277.491            7246.794            7253.383            7255.133            7253.759            7255.599            81.37939 
 409.92             7533.22             7278.051            7246.72             7253.43             7255.224            7253.832            7255.726            255.1689 
 409.82             7461.81             7278.517            7246.53             7253.366            7255.205            7253.793            7255.745            183.293 
 409.72             7431.87             7279.049            7246.387            7253.352            7255.236            7253.806            7255.817            152.8208 
 409.62             7430.41             7279.624            7246.264            7253.361            7255.294            7253.844            7255.918            150.7861 
 409.52             7385.71             7280.223            7246.142            7253.375            7255.358            7253.888            7256.027            105.4873 
 409.42             7248.45             7280.874            7246.049            7253.423            7255.457            7253.967            7256.174           -32.42334 
 409.32             7605.79             7281.641            7246.048            7253.566            7255.654            7254.144            7256.421            324.1489 
 409.22             7329.25             7282.197            7245.809            7253.476            7255.619            7254.089            7256.44             47.05322 
 409.12             7354.3              7282.963            7245.754            7253.574            7255.775            7254.224            7256.653            71.33643 
 409.02             7492.72             7283.741            7245.682            7253.659            7255.92             7254.348            7256.858            208.979 
 408.92             7568.1              7284.456            7245.518            7253.658            7255.981            7254.388            7256.982            283.644 
 408.82             7283.81             7285.153            7245.304            7253.612            7256                7254.385            7257.068           -1.343262 
 408.72             7477.84             7286.071            7245.278            7253.759            7256.214            7254.578            7257.354            191.769 
 408.62             7291.16             7286.893            7245.124            7253.783            7256.308            7254.649            7257.524            4.26709 
 408.52             7624.43             7287.875            7245.093            7253.937            7256.534            7254.854            7257.831            336.5547 
 408.42             7533.36             7288.673            7244.841            7253.874            7256.548            7254.846            7257.929            244.687 
 408.32             7466.91             7289.571            7244.65             7253.879            7256.632            7254.907            7258.104            177.3389 
 408.22             7239.29             7290.555            7244.502            7253.934            7256.77             7255.022            7258.337           -51.26514 
 408.12             7371.76             7291.732            7244.506            7254.146            7257.068            7255.298            7258.738            80.02734 
 408.02             7410.2              7292.869            7244.421            7254.278            7257.29             7255.497            7259.068            117.3315 
 407.92             7629.11             7294.027            7244.312            7254.392            7257.497            7255.682            7259.391            335.083 
 407.82             7361.46             7295.09             7244.056            7254.368            7257.571            7255.733            7259.587            66.36963 
 407.72             7338.36             7296.385            7243.978            7254.529            7257.834            7255.974            7259.982            41.9751 
 407.62             7392.71             7297.751            7243.916            7254.714            7258.126            7256.244            7260.414            94.9585 
 407.52             7649.55             7299.142            7243.817            7254.872            7258.396            7256.491            7260.833            350.4082 
 407.42             7853.5              7300.424            7243.548            7254.869            7258.51             7256.583            7261.105            553.0762 
 407.32             7731.77             7301.637            7243.143            7254.739            7258.503            7256.555            7261.268            430.1333 
 407.22             7661.78             7303.001            7242.818            7254.7              7258.593            7256.624            7261.539            358.7788 
 407.12             7521.35             7304.487            7242.541            7254.718            7258.747            7256.757            7261.887            216.8633 
 407.02             7643.74             7306.145            7242.355            7254.841            7259.011            7257.001            7262.358            337.5957 
 406.92             7223.19             7307.804            7242.089            7254.893            7259.212            7257.183            7262.782           -84.61426 
 406.82             7610.93             7309.832            7242.102            7255.237            7259.713            7257.666            7263.521            301.0981 
