B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 410.61             7007.26             7030.914            7007.26             7013.463            7014.024            7012.92             7012.286           -23.6543 
 410.51             7143.77             7031.369            7007.26             7013.573            7014.15             7013.033            7012.392            112.4014 
 410.41             7069.62             7031.564            7006.987            7013.412            7014.008            7012.876            7012.229            38.05566 
 410.31             6877.89             7031.921            7006.862            7013.402            7014.017            7012.87             7012.218           -154.0308 
 410.21             6947.67             7032.675            7007.12             7013.778            7014.412            7013.251            7012.593           -85.00488 
 410.11             7015.93             7033.304            7007.238            7014.018            7014.672            7013.496            7012.833           -17.37402 
 410.01             6919.81             7033.813            7007.221            7014.125            7014.801            7013.609            7012.94            -114.0034 
 409.91             7078.54             7034.53             7007.396            7014.428            7015.126            7013.919            7013.244            44.00977 
 409.81             7342.14             7034.948            7007.253            7014.418            7015.139            7013.916            7013.235            307.1919 
 409.71             7331.27             7034.856            7006.584            7013.885            7014.629            7013.391            7012.705            296.4136 
 409.61             7143.2              7034.803            7005.936            7013.375            7014.145            7012.891            7012.199            108.397 
 409.51             7275.91             7035.144            7005.662            7013.245            7014.04             7012.77             7012.073            240.7666 
 409.41             6953.49             7035.238            7005.122            7012.853            7013.674            7012.388            7011.687           -81.74756 
 409.31             6797.55             7035.996            7005.225            7013.108            7013.958            7012.655            7011.949           -238.4458 
 409.21             7092.95             7037.087            7005.64             7013.68             7014.559            7013.239            7012.529            55.86279 
 409.11             7073.16             7037.613            7005.465            7013.667            7014.576            7013.24             7012.526            35.54736 
 409.01             7168.08             7038.201            7005.33             7013.698            7014.639            7013.286            7012.568            129.8794 
 408.91             6972.55             7038.624            7005.005            7013.543            7014.519            7013.149            7012.427           -66.07422 
 408.81             6875.51             7039.463            7005.07             7013.785            7014.795            7013.408            7012.684           -163.9531 
 408.71             6862.54             7040.522            7005.329            7014.226            7015.273            7013.868            7013.141           -177.9824 
 408.61             6773.74             7041.637            7005.614            7014.699            7015.784            7014.362            7013.633           -267.897 
 408.51             7127.5              7042.96             7006.077            7015.356            7016.481            7015.042            7014.311            84.54004 
 408.41             6955.29             7043.608            7005.834            7015.314            7016.481            7015.024            7014.292           -88.31787 
 408.31             7109.43             7044.632            7005.936            7015.622            7016.833            7015.359            7014.626            64.79785 
 408.21             7278.4              7045.383            7005.729            7015.628            7016.885            7015.394            7014.662            233.0166 
 408.11             7144.63             7045.833            7005.184            7015.305            7016.609            7015.101            7014.37             98.79688 
 408.01             7138.51             7046.586            7004.905            7015.254            7016.609            7015.084            7014.355            91.92334 
 407.91             6693.75             7047.392            7004.639            7015.223            7016.632            7015.089            7014.364           -353.6421 
 407.81             7187.5              7049.127            7005.26             7016.088            7017.553            7015.994            7015.272            138.3726 
 407.71             7228.87             7049.922            7004.896            7015.977            7017.5              7015.924            7015.208            178.9478 
 407.61             7171.93             7050.68             7004.448            7015.791            7017.376            7015.784            7015.075            121.25 
 407.51             7225.56             7051.6              7004.113            7015.727            7017.376            7015.769            7015.068            173.96 
 407.41             6919.36             7052.464            7003.671            7015.564            7017.283            7015.66             7014.969           -133.1045 
 407.31             7057.14             7053.995            7003.839            7016.024            7017.814            7016.177            7015.498            3.145508 
 407.21             6829.65             7055.309            7003.733            7016.219            7018.086            7016.434            7015.769           -225.6592 
 407.11             6962.9              7057.139            7004.081            7016.88             7018.827            7017.162            7016.512           -94.23877 
 407.01             7063                7058.767            7004.163            7017.287            7019.318            7017.641            7017.01             4.23291 
 406.91             7253.71             7060.266            7004.045            7017.507            7019.627            7017.939            7017.329            193.4438 
 406.81             7497.31             7061.457            7003.547            7017.359            7019.574            7017.875            7017.29             435.853 
 406.71             7150.04             7062.238            7002.561            7016.737            7019.052            7017.345            7016.786            87.80225 
 406.61             7325.56             7063.793            7002.266            7016.821            7019.242            7017.527            7017                261.7666 
 406.51             7591.86             7065.085            7001.62             7016.569            7019.102            7017.383            7016.891            526.7749 
 406.41             7399.82             7065.938            7000.441            7015.8              7018.452            7016.729            7016.278            333.8823 
 406.31             7362.77             7067.272            6999.643            7015.43             7018.208            7016.484            7016.079            295.498 
 406.21             7182.87             7068.785            6998.917            7015.15             7018.062            7016.34             7015.985            114.0854 
