B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 410.72             7257.86             7288.389            7257.86             7262.893            7262.921            7263.836            7272.319           -30.5293 
 410.62             7669.2              7290.17             7259.035            7264.153            7264.19             7265.127            7273.806            379.0298 
 410.52             7970.17             7291.969            7260.21             7265.416            7265.46             7266.421            7275.302            678.2007 
 410.42             7694.58             7293.788            7261.385            7266.681            7266.734            7267.72             7276.809            400.7925 
 410.32             7620.71             7295.626            7262.561            7267.948            7268.011            7269.021            7278.327            325.084 
 410.22             7598.51             7297.484            7263.735            7269.218            7269.29             7270.327            7279.856            301.0254 
 410.12             7826.27             7299.365            7264.911            7270.49             7270.573            7271.637            7281.397            526.9048 
 410.02             7767.74             7301.268            7266.085            7271.765            7271.858            7272.95             7282.951            466.4727 
 409.92             7694.65             7303.193            7267.261            7273.042            7273.147            7274.268            7284.518            391.4565 
 409.82             7510.83             7305.144            7268.436            7274.323            7274.439            7275.591            7286.099            205.6865 
 409.72             7930.88             7307.119            7269.611            7275.605            7275.734            7276.918            7287.694            623.7607 
 409.62             7951.76             7309.122            7270.786            7276.892            7277.034            7278.25             7289.304            642.6382 
 409.52             7893.45             7311.152            7271.961            7278.182            7278.337            7279.587            7290.93             582.2979 
 409.42             7989.1              7313.21             7273.136            7279.474            7279.644            7280.93             7292.572            675.8896 
 409.32             7824.27             7315.301            7274.312            7280.77             7280.956            7282.278            7294.231            508.9692 
 409.22             7700.68             7317.421            7275.486            7282.069            7282.271            7283.632            7295.909            383.2588 
 409.12             7808.37             7319.576            7276.662            7283.372            7283.591            7284.992            7297.606            488.7939 
 409.02             7710                7321.766            7277.837            7284.679            7284.916            7286.359            7299.323            388.2339 
 408.92             7496                7323.991            7279.012            7285.989            7286.245            7287.731            7301.061            172.0088 
 408.82             7867.24             7326.256            7280.187            7287.304            7287.58             7289.112            7302.821            540.9844 
 408.72             7770.33             7328.56             7281.362            7288.623            7288.92             7290.499            7304.604            441.7705 
 408.62             7997.46             7330.906            7282.537            7289.946            7290.266            7291.894            7306.412            666.5537 
 408.52             7763.61             7333.297            7283.712            7291.274            7291.617            7293.297            7308.246            430.3125 
 408.42             7524.17             7335.734            7284.887            7292.606            7292.974            7294.708            7310.107            188.436 
 408.32             7985.63             7338.221            7286.063            7293.944            7294.338            7296.128            7311.997            647.4092 
 408.22             7668.58             7340.759            7287.238            7295.288            7295.709            7297.558            7313.917            327.8213 
 408.12             7584.43             7343.351            7288.413            7296.635            7297.086            7298.997            7315.87             241.0791 
 408.02             7660.41             7346                7289.588            7297.989            7298.472            7300.446            7317.856            314.4102 
 407.92             7897                7348.709            7290.763            7299.349            7299.864            7301.907            7319.879            548.2905 
 407.82             8038.35             7351.483            7291.938            7300.715            7301.265            7303.378            7321.939            686.8672 
 407.72             7929.03             7354.323            7293.113            7302.087            7302.674            7304.862            7324.041            574.7065 
 407.62             7892.87             7357.235            7294.288            7303.466            7304.092            7306.357            7326.184            535.6353 
 407.52             7969.95             7360.222            7295.463            7304.852            7305.52             7307.867            7328.374            609.728 
 407.42             7612.33             7363.288            7296.639            7306.245            7306.957            7309.391            7330.611            249.042 
 407.32             7696.93             7366.438            7297.813            7307.646            7308.404            7310.929            7332.9              330.4917 
 407.22             7586.4              7369.679            7298.989            7309.055            7309.863            7312.483            7335.244            216.7212 
 407.12             7885.43             7373.014            7300.164            7310.473            7311.333            7314.054            7337.646            512.4165 
 407.02             8146.93             7376.449            7301.339            7311.898            7312.815            7315.642            7340.11             770.4814 
 406.92             8096.84             7379.991            7302.514            7313.334            7314.31             7317.249            7342.641            716.8486 
 406.82             7768.27             7383.648            7303.689            7314.779            7315.818            7318.875            7345.243            384.6221 
 406.72             8270.88             7387.427            7304.864            7316.234            7317.342            7320.523            7347.921            883.4526 
 406.62             8011.4              7391.336            7306.04             7317.701            7318.88             7322.193            7350.681            620.064 
 406.52             8070.56             7395.383            7307.214            7319.178            7320.434            7323.886            7353.528            675.1772 
 406.42             7820.16             7399.578            7308.39             7320.667            7322.004            7325.605            7356.47             420.5825 
 406.32             8018.53             7403.933            7309.565            7322.169            7323.594            7327.352            7359.514            614.5967 
 406.22             8004.59             7408.458            7310.74             7323.684            7325.202            7329.125            7362.667            596.1313 
 406.12             8120.54             7413.168            7311.915            7325.212            7326.83             7330.931            7365.94             707.3716 
 406.02             7998.7              7418.077            7313.09             7326.755            7328.48             7332.769            7369.342            580.6235 
 405.92             7982.31             7423.198            7314.265            7328.314            7330.153            7334.642            7372.884            559.1118 
 405.82             8090.42             7428.554            7315.44             7329.89             7331.851            7336.553            7376.582            661.8657 
 405.72             8084.93             7434.162            7316.615            7331.482            7333.574            7338.504            7380.448            650.7681 
 405.62             8157.67             7440.046            7317.791            7333.093            7335.325            7340.499            7384.5              717.624 
 405.52             7774.38             7446.23             7318.966            7334.723            7337.106            7342.54             7388.759            328.1494 
 405.42             7509.82             7452.743            7320.141            7336.373            7338.919            7344.631            7393.242            57.07666 
 405.32             8014.56             7459.621            7321.316            7338.045            7340.767            7346.777            7397.98             554.939 
 405.22             7517.14             7466.899            7322.491            7339.741            7342.65             7348.981            7403                50.24121 
 405.12             7799.26             7474.619            7323.666            7341.46             7344.573            7351.248            7408.336            324.6411 
 405.02             7991.75             7482.829            7324.841            7343.206            7346.538            7353.584            7414.025            508.9209 
 404.92             7707.8              7491.582            7326.016            7344.979            7348.548            7355.993            7420.11             216.2178 
 404.82             7889.54             7500.944            7327.191            7346.782            7350.608            7358.484            7426.644            388.5962 
 404.72             7958.12             7510.981            7328.367            7348.617            7352.721            7361.063            7433.681            447.1387 
 404.62             7838.76             7521.772            7329.542            7350.485            7354.89             7363.737            7441.285            316.9873 
 404.52             7544.99             7533.405            7330.717            7352.39             7357.122            7366.517            7449.527            11.58545 
 404.42             8161.22             7545.971            7331.892            7354.332            7359.42             7369.41             7458.485            615.2495 
 404.32             7991.13             7559.584            7333.067            7356.316            7361.791            7372.428            7468.25             431.5454 
 404.22             7803.33             7574.361            7334.242            7358.344            7364.242            7375.585            7478.916            228.9692 
 404.12             8190.12             7590.428            7335.417            7360.419            7366.778            7378.894            7490.587            599.6924 
 404.02             8027.69             7607.926            7336.592            7362.546            7369.409            7382.371            7503.376            419.7642 
 403.92             7998.5              7626.997            7337.768            7364.728            7372.143            7386.033            7517.396            371.5029 
 403.82             7769.12             7647.812            7338.942            7366.968            7374.99             7389.9              7532.782            121.3081 
 403.72             7711.18             7670.535            7340.118            7369.272            7377.961            7393.997            7549.658            40.64502 
 403.62             7758.66             7695.343            7341.293            7371.646            7381.068            7398.349            7568.159            63.31689 
 403.52             7759.39             7722.417            7342.468            7374.094            7384.326            7402.985            7588.415            36.97363 
 403.42             7767.76             7751.936            7343.643            7376.623            7387.75             7407.94             7610.552            15.82422 
 403.32             7787.57             7784.106            7344.818            7379.24             7391.359            7413.256            7634.706            3.463379 
 403.22             8047.77             7819.11             7345.993            7381.953            7395.173            7418.978            7660.985            228.6602 
 403.12             8077.28             7857.128            7347.168            7384.77             7399.216            7425.16             7689.488            220.1514 
 403.02             8016.34             7898.334            7348.343            7387.7              7403.514            7431.865            7720.285            118.0054 
 402.92             7926.87             7942.871            7349.519            7390.754            7408.097            7439.167            7753.408           -16.00098 
 402.82             8291.02             7990.895            7350.694            7393.945            7413.002            7447.159            7788.869            300.125 
 402.72             7940.31             8042.486            7351.869            7397.285            7418.271            7455.948            7826.589           -102.1763 
 402.62             7838.77             8097.692            7353.044            7400.789            7423.951            7465.667            7866.417           -258.9219 
 402.52             7919.85             8156.489            7354.219            7404.474            7430.097            7476.484            7908.091           -236.6392 
 402.42             8269.35             8218.76             7355.394            7408.358            7436.774            7488.608            7951.202            50.58984 
 402.32             8198.12             8284.352            7356.569            7412.465            7444.063            7502.32             7995.211           -86.23145 
 402.22             8000.94             8352.957            7357.744            7416.817            7452.054            7517.977            8039.342           -352.0171 
 402.12             8380.25             8424.213            7358.919            7421.443            7460.858            7536.05             8082.62            -43.96289 
 402.02             8332.32             8497.71             7360.095            7426.375            7470.609            7557.158            8123.853           -165.3896 
 401.92             8638.54             8573.057            7361.27             7431.647            7481.469            7582.094            8161.655            65.4834 
 401.82             8717.41             8650.088            7362.445            7437.307            7493.652            7611.896            8194.566            67.32227 
 401.72             8413.45             8728.893            7363.62             7443.403            7507.417            7647.833            8221.099           -315.4424 
 401.62             8807.18             8810.107            7364.795            7449.997            7523.113            7691.444            8239.938           -2.927734 
 401.52             9022.64             8895.068            7365.97             7457.16             7541.2              7744.526            8250.093            127.5713 
 401.42             9216.3              8985.939            7367.145            7464.979            7562.293            7809.067            8251.035            230.3604 
 401.32             9333.5              9085.867            7368.32             7473.568            7587.248            7887.233            8242.779            247.6328 
 401.22             9575                9198.754            7369.496            7483.061            7617.195            7981.107            8225.879            376.2461 
 401.12             9704.75             9329.119            7370.67             7493.626            7653.64             8092.521            8201.343            375.6309 
 401.02             9777.18             9481.641            7371.846            7505.482            7698.53             8222.665            8170.501            295.5391 
 400.92             9456.93             9660.348            7373.021            7518.892            7754.27             8371.405            8134.844           -203.418 
 400.82             9825.68             9867.668            7374.196            7534.201            7823.791            8536.437            8095.827           -41.98828 
 400.72             10026.8             10102.38            7375.371            7551.821            7910.363            8711.473            8054.831           -75.5752 
 400.62             10149.9             10357.71            7376.546            7572.262            8017.468            8884.589            8013.034           -207.8145 
 400.52             10720.6             10620.03            7377.721            7596.131            8148.458            9037.206            7971.403            100.5664 
 400.42             11132.3             10870.23            7378.896            7624.131            8305.953            9146.129            7930.703            262.0732 
 400.32             10968               11089.88            7380.071            7657.092            8491.093            9190.441            7891.463           -121.875 
 400.22             11304.5             11268.41            7381.247            7695.91             8701.597            9160.56             7854.086            36.08789 
 400.12             11434.1             11405.73            7382.422            7741.549            8929.197            9063.423            7818.827            28.36914 
 400.02             11862.8             11504.78            7383.597            7795.002            9155.996            8918.74             7785.831            358.0195 
 399.92             11581.8             11560.15            7384.772            7857.212            9352.105            8749.968            7755.176            21.65332 
 399.82             11402.3             11554.6             7385.947            7929.061            9479.936            8576.599            7726.844           -152.2988 
 399.72             10856.9             11470.31            7387.122            8011.137            9508.043            8411.693            7700.806           -613.4121 
 399.62             11655.9             11307.02            7388.297            8103.616            9428.997            8262.316            7676.985            348.8789 
 399.52             11044.1             11088.33            7389.472            8205.948            9264.132            8131.381            7655.285           -44.22852 
 399.42             10967.8             10849.79            7390.647            8316.397            9050.433            8019.302            7635.596            118.0137 
 399.32             10454.7             10621.5             7391.823            8431.596            8822.608            7924.982            7617.781           -166.7988 
 399.22             10594.8             10419.64            7392.998            8545.742            8604.474            7846.701            7601.715            175.1611 
 399.12             10156.7             10246.15            7394.173            8650.424            8408.592            7782.383            7587.267           -89.44629 
 399.02             9862.23             10093.02            7395.348            8735.111            8239.76             7729.891            7574.302           -230.791 
 398.92             9899.22             9947.693            7396.523            8789.036            8098.325            7687.204            7562.697           -48.47363 
 398.82             9725.87             9798.139            7397.698            8804.281            7982.177            7652.458            7552.317           -72.26855 
 398.72             9550.72             9637.318            7398.873            8778.545            7888.261            7624.082            7543.049           -86.59863 
 398.62             9253.55             9464.629            7400.048            8716.128            7813.105            7600.76             7534.781           -211.0791 
 398.52             9281.87             9284.693            7401.224            8626.231            7753.297            7581.428            7527.409           -2.823242 
 398.42             9356.15             9104.505            7402.398            8519.863            7705.744            7565.254            7520.839            251.6455 
 398.32             8929.65             8930.543            7403.574            8406.947            7667.754            7551.583            7514.98            -0.8925781 
 398.22             8615.33             8767.694            7404.749            8295.094            7637.165            7539.925            7509.756           -152.3643 
 398.12             8616.48             8618.764            7405.924            8189.272            7612.26             7529.907            7505.096           -2.283203 
 398.02             8698.74             8484.912            7407.099            8092.301            7591.731            7521.239            7500.937            213.8281 
 397.92             8360.9              8366.191            7408.274            8005.484            7574.604            7513.703            7497.223           -5.291016 
 397.82             8269.15             8261.869            7409.449            7929.048            7560.146            7507.12             7493.903            7.28125 
 397.72             8066.27             8170.926            7410.625            7862.684            7547.827            7501.354            7490.934           -104.6563 
 397.62             8027.06             8092.116            7411.799            7805.691            7537.251            7496.293            7488.279           -65.05615 
 397.52             7899.95             8024.119            7412.975            7757.177            7528.116            7491.845            7485.905           -124.1689 
 397.42             7768.11             7965.632            7414.149            7716.174            7520.192            7487.932            7483.783           -197.5225 
 397.32             7777.73             7915.357            7415.325            7681.668            7513.29             7484.488            7481.886           -137.6274 
 397.22             7652.45             7872.138            7416.5              7652.723            7507.263            7481.458            7480.194           -219.688 
 397.12             7643.38             7834.91             7417.675            7628.462            7501.99             7478.795            7478.687           -191.5298 
 397.02             7375.2              7802.732            7418.85             7608.105            7497.371            7476.458            7477.347           -427.5317 
 396.92             7534.53             7774.8              7420.025            7590.977            7493.323            7474.414            7476.163           -240.27 
 396.82             7876                7750.403            7421.2              7576.49             7489.771            7472.626            7475.117            125.5967 
 396.72             7682.71             7728.978            7422.375            7564.175            7486.656            7471.073            7474.201           -46.26758 
 396.62             7451.63             7710.046            7423.551            7553.64             7483.927            7469.729            7473.403           -258.4165 
 396.52             7607.51             7693.22             7424.726            7544.57             7481.539            7468.572            7472.715           -85.70996 
 396.42             7515.93             7678.188            7425.901            7536.719            7479.456            7467.587            7472.129           -162.2578 
 396.32             7759.67             7664.686            7427.076            7529.88             7477.641            7466.756            7471.636            94.98438 
 396.22             7733.23             7652.509            7428.251            7523.898            7476.067            7466.065            7471.231            80.7207 
 396.12             7513.28             7641.488            7429.426            7518.647            7474.71             7465.502            7470.907           -128.208 
 396.02             7509.53             7631.481            7430.601            7514.023            7473.547            7465.055            7470.659           -121.9512 
 395.92             7813.89             7622.375            7431.776            7509.947            7472.56             7464.715            7470.482            191.5151 
 395.82             7578.05             7614.063            7432.952            7506.346            7471.73             7464.471            7470.371           -36.01367 
 395.72             7503.15             7606.466            7434.126            7503.164            7471.043            7464.316            7470.322           -103.3159 
 395.62             7484.95             7599.51             7435.302            7500.353            7470.487            7464.244            7470.331           -114.5596 
 395.52             7433.28             7593.132            7436.477            7497.872            7470.049            7464.246            7470.395           -159.8521 
 395.42             7663.1              7587.28             7437.652            7495.688            7469.719            7464.318            7470.51             75.82031 
 395.32             7631.45             7581.901            7438.827            7493.767            7469.487            7464.455            7470.674            49.54883 
 395.22             7327.13             7576.954            7440.002            7492.083            7469.345            7464.65             7470.882           -249.8242 
 395.12             7720.14             7572.401            7441.177            7490.614            7469.286            7464.9              7471.133            147.7388 
 395.02             7754.19             7568.21             7442.353            7489.339            7469.303            7465.201            7471.425            185.9795 
 394.92             7724.66             7564.35             7443.527            7488.239            7469.389            7465.549            7471.754            160.3101 
 394.82             7778.11             7560.792            7444.703            7487.299            7469.54             7465.941            7472.12             217.3174 
 394.72             7550.04             7557.513            7445.877            7486.502            7469.75             7466.374            7472.519           -7.473145 
 394.62             7435.98             7554.492            7447.053            7485.839            7470.015            7466.845            7472.951           -118.5117 
 394.52             7424.44             7551.707            7448.228            7485.296            7470.331            7467.352            7473.413           -127.2671 
 394.42             7723.91             7549.144            7449.403            7484.864            7470.694            7467.891            7473.903            174.7661 
