B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 410.45             7692.5              7718.621            7692.5              7697.319            7699.444            7700.39             7698.968           -26.12109 
 410.35             7622.35             7719.126            7692.5              7697.404            7699.576            7700.548            7699.098           -96.77588 
 410.25             7702.41             7719.81             7692.664            7697.656            7699.875            7700.876            7699.395           -17.39941 
 410.15             7612.57             7720.322            7692.641            7697.723            7699.991            7701.022            7699.509           -107.752 
 410.05             7759.77             7721.061            7692.828            7698.003            7700.321            7701.384            7699.837            38.70947 
 409.95             7583.13             7721.473            7692.672            7697.942            7700.312            7701.407            7699.827           -138.3428 
 409.85             7764.12             7722.313            7692.928            7698.295            7700.719            7701.848            7700.233            41.80713 
 409.75             7755.6              7722.75             7692.762            7698.23             7700.709            7701.874            7700.223            32.84961 
 409.65             8018.64             7723.226            7692.615            7698.187            7700.724            7701.924            7700.236            295.4141 
 409.55             7657.69             7723.105            7691.853            7697.531            7700.127            7701.366            7699.639           -65.41504 
 409.45             7525.92             7723.847            7691.933            7697.72             7700.378            7701.657            7699.89            -197.9272 
 409.35             7581.65             7724.918            7692.32             7698.221            7700.942            7702.262            7700.454           -143.2686 
 409.25             7655.76             7725.883            7692.579            7698.596            7701.383            7702.746            7700.895           -70.12305 
 409.15             7428.04             7726.697            7692.665            7698.801            7701.657            7703.065            7701.17            -298.6572 
 409.05             7521.4              7728.069            7693.284            7699.542            7702.469            7703.925            7701.983           -206.6689 
 408.95             7858.25             7729.25             7693.686            7700.071            7703.071            7704.576            7702.587            129.0005 
 408.85             7684.38             7729.668            7693.301            7699.817            7702.893            7704.45             7702.411           -45.28857 
 408.75             7584.1              7730.522            7693.322            7699.973            7703.128            7704.738            7702.649           -146.4224 
 408.65             7930.58             7731.639            7693.577            7700.367            7703.604            7705.271            7703.128            198.9414 
 408.55             7870.91             7731.977            7693.023            7699.956            7703.278            7705.004            7702.807            138.9336 
 408.45             7555.25             7732.484            7692.607            7699.688            7703.099            7704.887            7702.632           -177.2339 
 408.35             7613.67             7733.761            7692.928            7700.162            7703.665            7705.517            7703.202           -120.0908 
 408.25             7526.81             7734.938            7693.114            7700.505            7704.103            7706.024            7703.647           -208.1279 
 408.15             7909.06             7736.354            7693.502            7701.056            7704.754            7706.747            7704.305            172.7056 
 408.05             7745.25             7736.917            7692.999            7700.721            7704.522            7706.589            7704.081            8.33252 
 407.95             7524                7737.901            7692.876            7700.772            7704.681            7706.828            7704.25            -213.9014 
 407.85             7502.97             7739.445            7693.271            7701.347            7705.368            7707.598            7704.946           -236.4746 
 407.75             7807.69             7741.084            7693.716            7701.978            7706.116            7708.433            7705.705            66.60596 
 407.65             7778.5              7742.059            7693.45             7701.904            7706.164            7708.573            7705.766            36.44141 
 407.55             7801.33             7743.149            7693.25             7701.904            7706.292            7708.797            7705.908            58.18066 
 407.45             7681.8              7744.239            7692.998            7701.858            7706.378            7708.986            7706.01            -62.43896 
 407.35             7865.97             7745.663            7693.024            7702.099            7706.758            7709.473            7706.406            120.3076 
 407.25             7495.15             7746.713            7692.62             7701.916            7706.72             7709.549            7706.388           -251.563 
 407.15             7870.85             7748.691            7693.082            7702.607            7707.563            7710.513            7707.252            122.1592 
 407.05             7728.57             7749.857            7692.666            7702.431            7707.545            7710.622            7707.257           -21.2876 
 406.95             7477.8              7751.422            7692.582            7702.594            7707.875            7711.086            7707.613           -273.6226 
 406.85             7535.15             7753.646            7693.084            7703.354            7708.809            7712.162            7708.574           -218.4966 
 406.75             7585.51             7755.815            7693.453            7703.99             7709.628            7713.132            7709.425           -170.3052 
 406.65             8061.22             7757.947            7693.706            7704.52             7710.35             7714.014            7710.181            303.2729 
 406.55             7842.3              7759.056            7692.847            7703.95             7709.981            7713.815            7709.85             83.24414 
