B.E.(eV)           Raw Intensity       Peak Sum            Background          Peak 1              Peak 2              Peak 3              Peak 4              difference
 410.72             7987.95             8015.884            7987.95             7994.203            7993.475            7993.949            7998.108           -27.93359 
 410.62             8121.51             8016.429            7987.95             7994.31             7993.577            7994.067            7998.326            105.0811 
 410.52             8423.65             8016.939            7987.9              7994.369            7993.632            7994.138            7998.5              406.7109 
 410.42             8178.88             8017.354            7987.736            7994.318            7993.577            7994.098            7998.568            161.5259 
 410.32             8476.57             8017.877            7987.664            7994.362            7993.617            7994.155            7998.736            458.6929 
 410.22             8478.91             8018.308            7987.48             7994.296            7993.547            7994.104            7998.8              460.6025 
 410.12             8367.75             8018.755            7987.295            7994.233            7993.48             7994.055            7998.872            348.9946 
 410.02             8261.51             8019.265            7987.152            7994.216            7993.459            7994.052            7998.994            242.2446 
 409.92             8360.9              8019.835            7987.048            7994.241            7993.481            7994.094            7999.164            341.0649 
 409.82             7956.23             8020.39             7986.908            7994.233            7993.469            7994.104            7999.308           -64.16016 
 409.72             8214.7              8021.119            7986.919            7994.38             7993.614            7994.27             7999.612            193.5815 
 409.62             8212.88             8021.774            7986.833            7994.434            7993.665            7994.344            7999.832            191.106 
 409.52             8116.24             8022.455            7986.749            7994.493            7993.722            7994.423            8000.062            93.78564 
 409.42             8183.82             8023.196            7986.7              7994.592            7993.818            7994.545            8000.34             160.624 
 409.32             8434.66             8023.939            7986.625            7994.67             7993.895            7994.647            8000.604            410.7207 
 409.22             8223.03             8024.616            7986.457            7994.658            7993.88             7994.66             8000.788            198.4141 
 409.12             8161.4              8025.402            7986.368            7994.73             7993.952            7994.76             8001.064            135.9976 
 409.02             8464.9              8026.242            7986.302            7994.83             7994.051            7994.889            8001.377            438.6587 
 408.92             7899.51             8026.999            7986.122            7994.82             7994.042            7994.911            8001.591           -127.4893 
 408.82             8416.36             8028.002            7986.154            7995.029            7994.251            7995.152            8002.033            388.3579 
 408.72             8132.72             8028.847            7985.992            7995.049            7994.271            7995.207            8002.296            103.873 
 408.62             8089.26             8029.835            7985.937            7995.181            7994.405            7995.376            8002.684            59.42432 
 408.52             8567.68             8030.878            7985.898            7995.334            7994.562            7995.57             8003.106            536.8013 
 408.42             8337.87             8031.782            7985.679            7995.315            7994.544            7995.593            8003.368            306.0879 
 408.32             8433.59             8032.815            7985.546            7995.387            7994.621            7995.71             8003.736            400.7744 
 408.22             8024.13             8033.858            7985.378            7995.431            7994.669            7995.802            8004.089           -9.728516 
 408.12             8197.71             8035.102            7985.363            7995.635            7994.879            7996.058            8004.619            162.6084 
 408.02             8184.59             8036.33             7985.283            7995.781            7995.032            7996.259            8005.107            148.2603 
 407.92             8444.74             8037.616            7985.208            7995.94             7995.198            7996.477            8005.626            407.124 
 407.82             8175.61             8038.859            7985.035            7996.009            7995.275            7996.607            8006.074            136.7505 
 407.72             8044.17             8040.263            7984.963            7996.187            7995.464            7996.852            8006.651            3.907227 
 407.62             8196.66             8041.778            7984.941            7996.423            7995.712            7997.159            8007.308            154.8823 
 407.52             8176.34             8043.301            7984.862            7996.611            7995.913            7997.423            8007.94             133.0386 
 407.42             8202.37             8044.9              7984.79             7996.815            7996.132            7997.709            8008.613            157.4697 
 407.32             8508.39             8046.563            7984.708            7997.02             7996.353            7998                8009.313            461.8262 
